timestamp,forecast,split,model_name,training_horizon,forecast_horizon
2024-12-15 23:00:00,54487.688447375345,1,AutoARIMA,720,24
2024-12-16 00:00:00,54190.399638428236,1,AutoARIMA,720,24
2024-12-16 01:00:00,54321.91408177225,1,AutoARIMA,720,24
2024-12-16 02:00:00,54901.694186829016,1,AutoARIMA,720,24
2024-12-16 03:00:00,55864.78793292196,1,AutoARIMA,720,24
2024-12-16 04:00:00,56884.02315662951,1,AutoARIMA,720,24
2024-12-16 05:00:00,57687.516286472586,1,AutoARIMA,720,24
2024-12-16 06:00:00,58285.81078722453,1,AutoARIMA,720,24
2024-12-16 07:00:00,58775.6139974441,1,AutoARIMA,720,24
2024-12-16 08:00:00,59196.818813523205,1,AutoARIMA,720,24
2024-12-16 09:00:00,59514.60332310428,1,AutoARIMA,720,24
2024-12-16 10:00:00,59706.120811966204,1,AutoARIMA,720,24
2024-12-16 11:00:00,59813.239804327066,1,AutoARIMA,720,24
2024-12-16 12:00:00,59888.06248950619,1,AutoARIMA,720,24
2024-12-16 13:00:00,59935.0122586214,1,AutoARIMA,720,24
2024-12-16 14:00:00,59927.12234632243,1,AutoARIMA,720,24
2024-12-16 15:00:00,59850.6336922121,1,AutoARIMA,720,24
2024-12-16 16:00:00,59721.96782452986,1,AutoARIMA,720,24
2024-12-16 17:00:00,59565.811522890814,1,AutoARIMA,720,24
2024-12-16 18:00:00,59393.57105562516,1,AutoARIMA,720,24
2024-12-16 19:00:00,59207.976417419995,1,AutoARIMA,720,24
2024-12-16 20:00:00,59017.9993122609,1,AutoARIMA,720,24
2024-12-16 21:00:00,58840.64185282677,1,AutoARIMA,720,24
2024-12-16 22:00:00,58690.39582310773,1,AutoARIMA,720,24
2024-12-16 23:00:00,55016.14331889648,2,AutoARIMA,720,24
2024-12-17 00:00:00,52611.682631016076,2,AutoARIMA,720,24
2024-12-17 01:00:00,51153.3473794027,2,AutoARIMA,720,24
2024-12-17 02:00:00,50587.82964614206,2,AutoARIMA,720,24
2024-12-17 03:00:00,50820.9543431089,2,AutoARIMA,720,24
2024-12-17 04:00:00,51517.75170392554,2,AutoARIMA,720,24
2024-12-17 05:00:00,52493.09527041368,2,AutoARIMA,720,24
2024-12-17 06:00:00,53624.09695682015,2,AutoARIMA,720,24
2024-12-17 07:00:00,54850.32955176077,2,AutoARIMA,720,24
2024-12-17 08:00:00,56075.30386662197,2,AutoARIMA,720,24
2024-12-17 09:00:00,57231.86633086031,2,AutoARIMA,720,24
2024-12-17 10:00:00,58280.70870020321,2,AutoARIMA,720,24
2024-12-17 11:00:00,59225.49604652127,2,AutoARIMA,720,24
2024-12-17 12:00:00,60055.69155007478,2,AutoARIMA,720,24
2024-12-17 13:00:00,60744.53439950091,2,AutoARIMA,720,24
2024-12-17 14:00:00,61260.90630066969,2,AutoARIMA,720,24
2024-12-17 15:00:00,61594.91609993547,2,AutoARIMA,720,24
2024-12-17 16:00:00,61753.220101456456,2,AutoARIMA,720,24
2024-12-17 17:00:00,61749.925911285776,2,AutoARIMA,720,24
2024-12-17 18:00:00,61599.90900097433,2,AutoARIMA,720,24
2024-12-17 19:00:00,61325.85654169793,2,AutoARIMA,720,24
2024-12-17 20:00:00,60960.17397302327,2,AutoARIMA,720,24
