timestamp,forecast,model_name,split,training_horizon,forecast_horizon
2024-12-14 15:00:00,55999.52,LSTM_wFC_v2,4,336,24
2024-12-14 16:00:00,56206.344,LSTM_wFC_v2,4,336,24
2024-12-14 17:00:00,55083.08,LSTM_wFC_v2,4,336,24
2024-12-14 18:00:00,57843.87,LSTM_wFC_v2,4,336,24
2024-12-14 19:00:00,56428.9,LSTM_wFC_v2,4,336,24
2024-12-14 20:00:00,51260.74,LSTM_wFC_v2,4,336,24
2024-12-14 21:00:00,49994.79,LSTM_wFC_v2,4,336,24
2024-12-14 22:00:00,45138.742,LSTM_wFC_v2,4,336,24
2024-12-14 23:00:00,42342.637,LSTM_wFC_v2,5,336,24
2024-12-15 00:00:00,41510.22,LSTM_wFC_v2,5,336,24
2024-12-15 01:00:00,40635.25,LSTM_wFC_v2,5,336,24
2024-12-15 02:00:00,38976.61,LSTM_wFC_v2,5,336,24
2024-12-15 03:00:00,39010.473,LSTM_wFC_v2,5,336,24
2024-12-15 04:00:00,39205.246,LSTM_wFC_v2,5,336,24
2024-12-15 05:00:00,42805.168,LSTM_wFC_v2,5,336,24
2024-12-15 06:00:00,45264.457,LSTM_wFC_v2,5,336,24
2024-12-15 07:00:00,50260.227,LSTM_wFC_v2,5,336,24
2024-12-15 08:00:00,51090.855,LSTM_wFC_v2,5,336,24
2024-12-15 09:00:00,50809.92,LSTM_wFC_v2,5,336,24
2024-12-15 10:00:00,53862.234,LSTM_wFC_v2,5,336,24
2024-12-15 11:00:00,53862.55,LSTM_wFC_v2,5,336,24
2024-12-15 12:00:00,53167.523,LSTM_wFC_v2,5,336,24
2024-12-15 13:00:00,51615.23,LSTM_wFC_v2,5,336,24
2024-12-15 14:00:00,47918.81,LSTM_wFC_v2,5,336,24
2024-12-15 15:00:00,51016.9,LSTM_wFC_v2,5,336,24
2024-12-15 16:00:00,49690.934,LSTM_wFC_v2,5,336,24
2024-12-15 17:00:00,48844.168,LSTM_wFC_v2,5,336,24
2024-12-15 18:00:00,50612.227,LSTM_wFC_v2,5,336,24
2024-12-15 19:00:00,51447.543,LSTM_wFC_v2,5,336,24
2024-12-15 20:00:00,48527.305,LSTM_wFC_v2,5,336,24
2024-12-15 21:00:00,45672.383,LSTM_wFC_v2,5,336,24
2024-12-15 22:00:00,43354.664,LSTM_wFC_v2,5,336,24
2024-12-15 23:00:00,46256.504,LSTM_wFC_v2,6,336,24
2024-12-16 00:00:00,44992.527,LSTM_wFC_v2,6,336,24
2024-12-16 01:00:00,44049.703,LSTM_wFC_v2,6,336,24
2024-12-16 02:00:00,43592.184,LSTM_wFC_v2,6,336,24
2024-12-16 03:00:00,47013.01,LSTM_wFC_v2,6,336,24
2024-12-16 04:00:00,44204.3,LSTM_wFC_v2,6,336,24
2024-12-16 05:00:00,53525.17,LSTM_wFC_v2,6,336,24
2024-12-16 06:00:00,58554.09,LSTM_wFC_v2,6,336,24
2024-12-16 07:00:00,64582.98,LSTM_wFC_v2,6,336,24
2024-12-16 08:00:00,68140.414,LSTM_wFC_v2,6,336,24
2024-12-16 09:00:00,67558.77,LSTM_wFC_v2,6,336,24
2024-12-16 10:00:00,67897.44,LSTM_wFC_v2,6,336,24
2024-12-16 11:00:00,69554.23,LSTM_wFC_v2,6,336,24
2024-12-16 12:00:00,64008.043,LSTM_wFC_v2,6,336,24
2024-12-16 13:00:00,66378.76,LSTM_wFC_v2,6,336,24
2024-12-16 14:00:00,66318.625,LSTM_wFC_v2,6,336,24
2024-12-16 15:00:00,64163.168,LSTM_wFC_v2,6,336,24
2024-12-16 16:00:00,64148.74,LSTM_wFC_v2,6,336,24
2024-12-16 17:00:00,62778.332,LSTM_wFC_v2,6,336,24
2024-12-16 18:00:00,63602.816,LSTM_wFC_v2,6,336,24
2024-12-16 19:00:00,61717.355,LSTM_wFC_v2,6,336,24
2024-12-16 20:00:00,56588.043,LSTM_wFC_v2,6,336,24
2024-12-16 21:00:00,57568.957,LSTM_wFC_v2,6,336,24
2024-12-16 22:00:00,48813.418,LSTM_wFC_v2,6,336,24
2024-12-16 23:00:00,50729.965,LSTM_wFC_v2,7,336,24
2024-12-17 00:00:00,48890.523,LSTM_wFC_v2,7,336,24
2024-12-17 01:00:00,46321.63,LSTM_wFC_v2,7,336,24
2024-12-17 02:00:00,45783.168,LSTM_wFC_v2,7,336,24
2024-12-17 03:00:00,46971.176,LSTM_wFC_v2,7,336,24
2024-12-17 04:00:00,46336.168,LSTM_wFC_v2,7,336,24
2024-12-17 05:00:00,55427.35,LSTM_wFC_v2,7,336,24
2024-12-17 06:00:00,60828.406,LSTM_wFC_v2,7,336,24
2024-12-17 07:00:00,67768.375,LSTM_wFC_v2,7,336,24
2024-12-17 08:00:00,70330.97,LSTM_wFC_v2,7,336,24
2024-12-17 09:00:00,72176.87,LSTM_wFC_v2,7,336,24
2024-12-17 10:00:00,72445.32,LSTM_wFC_v2,7,336,24
2024-12-17 11:00:00,74421.82,LSTM_wFC_v2,7,336,24
2024-12-17 12:00:00,66341.99,LSTM_wFC_v2,7,336,24
2024-12-17 13:00:00,70917.31,LSTM_wFC_v2,7,336,24
2024-12-17 14:00:00,69010.695,LSTM_wFC_v2,7,336,24
2024-12-17 15:00:00,66485.98,LSTM_wFC_v2,7,336,24
2024-12-17 16:00:00,67792.95,LSTM_wFC_v2,7,336,24
2024-12-17 17:00:00,66035.766,LSTM_wFC_v2,7,336,24
2024-12-17 18:00:00,68902.89,LSTM_wFC_v2,7,336,24
2024-12-17 19:00:00,65226.625,LSTM_wFC_v2,7,336,24
2024-12-17 20:00:00,58014.758,LSTM_wFC_v2,7,336,24
2024-12-17 21:00:00,59674.145,LSTM_wFC_v2,7,336,24
2024-12-17 22:00:00,49542.457,LSTM_wFC_v2,7,336,24
2024-12-17 23:00:00,49273.254,LSTM_wFC_v2,8,336,24
2024-12-18 00:00:00,47446.582,LSTM_wFC_v2,8,336,24
2024-12-18 01:00:00,45505.504,LSTM_wFC_v2,8,336,24
2024-12-18 02:00:00,44769.234,LSTM_wFC_v2,8,336,24
2024-12-18 03:00:00,45628.51,LSTM_wFC_v2,8,336,24
2024-12-18 04:00:00,45040.633,LSTM_wFC_v2,8,336,24
2024-12-18 05:00:00,53106.15,LSTM_wFC_v2,8,336,24
2024-12-18 06:00:00,57903.785,LSTM_wFC_v2,8,336,24
2024-12-18 07:00:00,64806.34,LSTM_wFC_v2,8,336,24
2024-12-18 08:00:00,67153.42,LSTM_wFC_v2,8,336,24
2024-12-18 09:00:00,68116.52,LSTM_wFC_v2,8,336,24
2024-12-18 10:00:00,69288.49,LSTM_wFC_v2,8,336,24
2024-12-18 11:00:00,70880.57,LSTM_wFC_v2,8,336,24
2024-12-18 12:00:00,64580.453,LSTM_wFC_v2,8,336,24
2024-12-18 13:00:00,67518.41,LSTM_wFC_v2,8,336,24
2024-12-18 14:00:00,65056.195,LSTM_wFC_v2,8,336,24
2024-12-18 15:00:00,63836.355,LSTM_wFC_v2,8,336,24
2024-12-18 16:00:00,64737.914,LSTM_wFC_v2,8,336,24
2024-12-18 17:00:00,62767.367,LSTM_wFC_v2,8,336,24
2024-12-18 18:00:00,65656.49,LSTM_wFC_v2,8,336,24
2024-12-18 19:00:00,63065.938,LSTM_wFC_v2,8,336,24
2024-12-18 20:00:00,56605.02,LSTM_wFC_v2,8,336,24
2024-12-18 21:00:00,57227.59,LSTM_wFC_v2,8,336,24
2024-12-18 22:00:00,48546.137,LSTM_wFC_v2,8,336,24
2024-12-18 23:00:00,47902.965,LSTM_wFC_v2,9,336,24
2024-12-19 00:00:00,46274.31,LSTM_wFC_v2,9,336,24
2024-12-19 01:00:00,44373.51,LSTM_wFC_v2,9,336,24
2024-12-19 02:00:00,43238.605,LSTM_wFC_v2,9,336,24
2024-12-19 03:00:00,43826.434,LSTM_wFC_v2,9,336,24
2024-12-19 04:00:00,43803.91,LSTM_wFC_v2,9,336,24
2024-12-19 05:00:00,50776.934,LSTM_wFC_v2,9,336,24
2024-12-19 06:00:00,54806.793,LSTM_wFC_v2,9,336,24
2024-12-19 07:00:00,61258.02,LSTM_wFC_v2,9,336,24
2024-12-19 08:00:00,63245.805,LSTM_wFC_v2,9,336,24
2024-12-19 09:00:00,64297.684,LSTM_wFC_v2,9,336,24
2024-12-19 10:00:00,65912.63,LSTM_wFC_v2,9,336,24
2024-12-19 11:00:00,66985.07,LSTM_wFC_v2,9,336,24
2024-12-19 12:00:00,61674.215,LSTM_wFC_v2,9,336,24
2024-12-19 13:00:00,63970.297,LSTM_wFC_v2,9,336,24
2024-12-19 14:00:00,61171.188,LSTM_wFC_v2,9,336,24
2024-12-19 15:00:00,60668.07,LSTM_wFC_v2,9,336,24
2024-12-19 16:00:00,61430.156,LSTM_wFC_v2,9,336,24
2024-12-19 17:00:00,59499.973,LSTM_wFC_v2,9,336,24
2024-12-19 18:00:00,62427.164,LSTM_wFC_v2,9,336,24
2024-12-19 19:00:00,60349.64,LSTM_wFC_v2,9,336,24
2024-12-19 20:00:00,54686.867,LSTM_wFC_v2,9,336,24
2024-12-19 21:00:00,54494.918,LSTM_wFC_v2,9,336,24
2024-12-19 22:00:00,47280.85,LSTM_wFC_v2,9,336,24
2024-12-19 23:00:00,46489.977,LSTM_wFC_v2,10,336,24
2024-12-20 00:00:00,45045.504,LSTM_wFC_v2,10,336,24
2024-12-20 01:00:00,43281.383,LSTM_wFC_v2,10,336,24
2024-12-20 02:00:00,41770.03,LSTM_wFC_v2,10,336,24
2024-12-20 03:00:00,42028.793,LSTM_wFC_v2,10,336,24
2024-12-20 04:00:00,42680.438,LSTM_wFC_v2,10,336,24
2024-12-20 05:00:00,48733.918,LSTM_wFC_v2,10,336,24
2024-12-20 06:00:00,51890.926,LSTM_wFC_v2,10,336,24
2024-12-20 07:00:00,57804.387,LSTM_wFC_v2,10,336,24
2024-12-20 08:00:00,59306.15,LSTM_wFC_v2,10,336,24
2024-12-20 09:00:00,60448.918,LSTM_wFC_v2,10,336,24
2024-12-20 10:00:00,62445.223,LSTM_wFC_v2,10,336,24
2024-12-20 11:00:00,63075.457,LSTM_wFC_v2,10,336,24
2024-12-20 12:00:00,58893.31,LSTM_wFC_v2,10,336,24
2024-12-20 13:00:00,60550.695,LSTM_wFC_v2,10,336,24
2024-12-20 14:00:00,57195.543,LSTM_wFC_v2,10,336,24
2024-12-20 15:00:00,57654.867,LSTM_wFC_v2,10,336,24
2024-12-20 16:00:00,58212.28,LSTM_wFC_v2,10,336,24
2024-12-20 17:00:00,56498.117,LSTM_wFC_v2,10,336,24
2024-12-20 18:00:00,59236.723,LSTM_wFC_v2,10,336,24
2024-12-20 19:00:00,57448.754,LSTM_wFC_v2,10,336,24
2024-12-20 20:00:00,52627.13,LSTM_wFC_v2,10,336,24
2024-12-20 21:00:00,52015.883,LSTM_wFC_v2,10,336,24
2024-12-20 22:00:00,45809.336,LSTM_wFC_v2,10,336,24
