timestamp,forecast,split,model_name,training_horizon,forecast_horizon
2024-11-20 23:00:00,54723.50431339543,1,AutoARIMA_wFC,2688,24
2024-11-21 00:00:00,53478.18425524319,1,AutoARIMA_wFC,2688,24
2024-11-21 01:00:00,53351.20434824476,1,AutoARIMA_wFC,2688,24
2024-11-21 02:00:00,54055.68349833457,1,AutoARIMA_wFC,2688,24
2024-11-21 03:00:00,55335.97644247876,1,AutoARIMA_wFC,2688,24
2024-11-21 04:00:00,56850.96911956331,1,AutoARIMA_wFC,2688,24
2024-11-21 05:00:00,58405.142618940095,1,AutoARIMA_wFC,2688,24
2024-11-21 06:00:00,59781.83791861663,1,AutoARIMA_wFC,2688,24
2024-11-21 07:00:00,60966.75042861497,1,AutoARIMA_wFC,2688,24
2024-11-21 08:00:00,61851.03102263129,1,AutoARIMA_wFC,2688,24
2024-11-21 09:00:00,62462.6761501411,1,AutoARIMA_wFC,2688,24
2024-11-21 10:00:00,62781.498826006005,1,AutoARIMA_wFC,2688,24
2024-11-21 11:00:00,62843.18462839787,1,AutoARIMA_wFC,2688,24
2024-11-21 12:00:00,62710.53005996403,1,AutoARIMA_wFC,2688,24
2024-11-21 13:00:00,62437.735368654976,1,AutoARIMA_wFC,2688,24
2024-11-21 14:00:00,62078.387094703474,1,AutoARIMA_wFC,2688,24
2024-11-21 15:00:00,61644.33332889412,1,AutoARIMA_wFC,2688,24
2024-11-21 16:00:00,61248.398236671404,1,AutoARIMA_wFC,2688,24
2024-11-21 17:00:00,60954.235867996395,1,AutoARIMA_wFC,2688,24
2024-11-21 18:00:00,60703.19734065907,1,AutoARIMA_wFC,2688,24
2024-11-21 19:00:00,60545.000653764815,1,AutoARIMA_wFC,2688,24
2024-11-21 20:00:00,60463.01707246904,1,AutoARIMA_wFC,2688,24
2024-11-21 21:00:00,60440.044667826995,1,AutoARIMA_wFC,2688,24
2024-11-21 22:00:00,60441.126987390206,1,AutoARIMA_wFC,2688,24
