timestamp,model_name,split,training_horizon,forecast_horizon,forecast
2024-12-15 23:00:00,53984.49047198999,0,ARIMA,720,24
2024-12-16 00:00:00,53114.73879820345,0,ARIMA,720,24
2024-12-16 01:00:00,52628.37264430311,0,ARIMA,720,24
2024-12-16 02:00:00,52841.373806366864,0,ARIMA,720,24
2024-12-16 03:00:00,53396.32349360772,0,ARIMA,720,24
2024-12-16 04:00:00,53914.676224922754,0,ARIMA,720,24
2024-12-16 05:00:00,54002.71202970479,0,ARIMA,720,24
2024-12-16 06:00:00,54055.662173002725,0,ARIMA,720,24
2024-12-16 07:00:00,54174.260535840316,0,ARIMA,720,24
2024-12-16 08:00:00,54442.04920799804,0,ARIMA,720,24
2024-12-16 09:00:00,54852.51862341804,0,ARIMA,720,24
2024-12-16 10:00:00,55148.55473693411,0,ARIMA,720,24
2024-12-16 11:00:00,55380.083919242636,0,ARIMA,720,24
2024-12-16 12:00:00,55562.95454607679,0,ARIMA,720,24
2024-12-16 13:00:00,55730.34307117168,0,ARIMA,720,24
2024-12-16 14:00:00,55791.585835619495,0,ARIMA,720,24
2024-12-16 15:00:00,55724.546914842664,0,ARIMA,720,24
2024-12-16 16:00:00,55545.17275916056,0,ARIMA,720,24
2024-12-16 17:00:00,55385.3694897736,0,ARIMA,720,24
2024-12-16 18:00:00,55271.44184596845,0,ARIMA,720,24
2024-12-16 19:00:00,55189.9074141089,0,ARIMA,720,24
2024-12-16 20:00:00,55123.29376413362,0,ARIMA,720,24
2024-12-16 21:00:00,55046.430572765916,0,ARIMA,720,24
2024-12-16 22:00:00,54990.91796289001,0,ARIMA,720,24
2024-12-16 23:00:00,55878.54480474437,1,ARIMA,720,24
2024-12-17 00:00:00,54912.80112055595,1,ARIMA,720,24
2024-12-17 01:00:00,54668.4549222588,1,ARIMA,720,24
2024-12-17 02:00:00,55139.15316408743,1,ARIMA,720,24
2024-12-17 03:00:00,56036.88204246169,1,ARIMA,720,24
2024-12-17 04:00:00,57161.68591410785,1,ARIMA,720,24
2024-12-17 05:00:00,57982.4059931661,1,ARIMA,720,24
2024-12-17 06:00:00,58614.09056010792,1,ARIMA,720,24
2024-12-17 07:00:00,59030.74868837981,1,ARIMA,720,24
2024-12-17 08:00:00,59514.05710991741,1,ARIMA,720,24
2024-12-17 09:00:00,59961.792045834154,1,ARIMA,720,24
2024-12-17 10:00:00,60426.00542609755,1,ARIMA,720,24
2024-12-17 11:00:00,60780.3771587921,1,ARIMA,720,24
2024-12-17 12:00:00,60992.99923852976,1,ARIMA,720,24
2024-12-17 13:00:00,61070.54630922592,1,ARIMA,720,24
2024-12-17 14:00:00,61015.029100376596,1,ARIMA,720,24
2024-12-17 15:00:00,60845.80125819749,1,ARIMA,720,24
2024-12-17 16:00:00,60561.4496292655,1,ARIMA,720,24
2024-12-17 17:00:00,60253.839568954005,1,ARIMA,720,24
2024-12-17 18:00:00,59970.14266185196,1,ARIMA,720,24
2024-12-17 19:00:00,59772.008718541685,1,ARIMA,720,24
2024-12-17 20:00:00,59629.421972866636,1,ARIMA,720,24
2024-12-17 21:00:00,59542.408971003,1,ARIMA,720,24
2024-12-17 22:00:00,59488.61782568323,1,ARIMA,720,24
2024-12-17 23:00:00,51459.852385063496,2,ARIMA,720,24
2024-12-18 00:00:00,50827.81919839047,2,ARIMA,720,24
2024-12-18 01:00:00,51039.843128577915,2,ARIMA,720,24
2024-12-18 02:00:00,51698.527711239716,2,ARIMA,720,24
2024-12-18 03:00:00,52661.35522162613,2,ARIMA,720,24
2024-12-18 04:00:00,53753.87008716709,2,ARIMA,720,24
2024-12-18 05:00:00,54385.14956798117,2,ARIMA,720,24
2024-12-18 06:00:00,54726.14429625522,2,ARIMA,720,24
2024-12-18 07:00:00,55073.19036888797,2,ARIMA,720,24
2024-12-18 08:00:00,55550.36255999689,2,ARIMA,720,24
2024-12-18 09:00:00,56067.59631764272,2,ARIMA,720,24
2024-12-18 10:00:00,56531.18308777404,2,ARIMA,720,24
2024-12-18 11:00:00,56950.05527835405,2,ARIMA,720,24
2024-12-18 12:00:00,57221.32690272481,2,ARIMA,720,24
2024-12-18 13:00:00,57294.691761328264,2,ARIMA,720,24
2024-12-18 14:00:00,57198.92096939534,2,ARIMA,720,24
2024-12-18 15:00:00,56996.95560920609,2,ARIMA,720,24
2024-12-18 16:00:00,56700.60280648914,2,ARIMA,720,24
2024-12-18 17:00:00,56391.45368108339,2,ARIMA,720,24
2024-12-18 18:00:00,56146.304178191196,2,ARIMA,720,24
2024-12-18 19:00:00,55983.38909296356,2,ARIMA,720,24
2024-12-18 20:00:00,55870.87049357017,2,ARIMA,720,24
2024-12-18 21:00:00,55781.19189225806,2,ARIMA,720,24
2024-12-18 22:00:00,55724.055136441406,2,ARIMA,720,24
2024-12-18 23:00:00,52173.4484844424,3,ARIMA,720,24
2024-12-19 00:00:00,51385.81290815977,3,ARIMA,720,24
2024-12-19 01:00:00,51481.809606655544,3,ARIMA,720,24
2024-12-19 02:00:00,52040.19461748075,3,ARIMA,720,24
2024-12-19 03:00:00,52722.19694840404,3,ARIMA,720,24
2024-12-19 04:00:00,53591.19017264235,3,ARIMA,720,24
2024-12-19 05:00:00,54108.44636828893,3,ARIMA,720,24
2024-12-19 06:00:00,54551.49778732167,3,ARIMA,720,24
2024-12-19 07:00:00,54969.34891913133,3,ARIMA,720,24
2024-12-19 08:00:00,55512.69549741488,3,ARIMA,720,24
2024-12-19 09:00:00,56035.12505018019,3,ARIMA,720,24
2024-12-19 10:00:00,56541.903156006956,3,ARIMA,720,24
2024-12-19 11:00:00,56978.35527205641,3,ARIMA,720,24
2024-12-19 12:00:00,57223.603517645744,3,ARIMA,720,24
2024-12-19 13:00:00,57277.9294187355,3,ARIMA,720,24
2024-12-19 14:00:00,57156.10828715211,3,ARIMA,720,24
2024-12-19 15:00:00,56972.376358260815,3,ARIMA,720,24
2024-12-19 16:00:00,56722.59448791061,3,ARIMA,720,24
2024-12-19 17:00:00,56485.44501193785,3,ARIMA,720,24
2024-12-19 18:00:00,56284.41918585135,3,ARIMA,720,24
2024-12-19 19:00:00,56139.689052255904,3,ARIMA,720,24
2024-12-19 20:00:00,56028.70256528595,3,ARIMA,720,24
2024-12-19 21:00:00,55940.85245077854,3,ARIMA,720,24
2024-12-19 22:00:00,55880.96259950947,3,ARIMA,720,24
2024-12-19 23:00:00,53608.68359595538,4,ARIMA,720,24
2024-12-20 00:00:00,53122.681911044936,4,ARIMA,720,24
2024-12-20 01:00:00,53294.4463465138,4,ARIMA,720,24
2024-12-20 02:00:00,53734.18675769086,4,ARIMA,720,24
2024-12-20 03:00:00,54308.78960102532,4,ARIMA,720,24
2024-12-20 04:00:00,54871.79962466975,4,ARIMA,720,24
2024-12-20 05:00:00,55311.333016084915,4,ARIMA,720,24
2024-12-20 06:00:00,55683.38553811701,4,ARIMA,720,24
2024-12-20 07:00:00,56005.24767111906,4,ARIMA,720,24
2024-12-20 08:00:00,56340.91503033195,4,ARIMA,720,24
2024-12-20 09:00:00,56647.43815120672,4,ARIMA,720,24
2024-12-20 10:00:00,56958.63997415446,4,ARIMA,720,24
2024-12-20 11:00:00,57191.682503145894,4,ARIMA,720,24
2024-12-20 12:00:00,57306.421574728956,4,ARIMA,720,24
2024-12-20 13:00:00,57296.575809309295,4,ARIMA,720,24
2024-12-20 14:00:00,57199.21545699016,4,ARIMA,720,24
2024-12-20 15:00:00,57055.210856169775,4,ARIMA,720,24
2024-12-20 16:00:00,56887.257288519606,4,ARIMA,720,24
2024-12-20 17:00:00,56732.04386811341,4,ARIMA,720,24
2024-12-20 18:00:00,56601.24837058626,4,ARIMA,720,24
2024-12-20 19:00:00,56507.22645765543,4,ARIMA,720,24
2024-12-20 20:00:00,56439.79919113339,4,ARIMA,720,24
2024-12-20 21:00:00,56396.41604377593,4,ARIMA,720,24
2024-12-20 22:00:00,56368.042097419115,4,ARIMA,720,24
