forecast,timestamp,split,model_name,training_horizon,forecast_horizon
61819.00390625,2024-12-10 23:00:00,1,HCNN,336,24
65109.1640625,2024-12-11 00:00:00,1,HCNN,336,24
59439.91015625,2024-12-11 01:00:00,1,HCNN,336,24
63080.59375,2024-12-11 02:00:00,1,HCNN,336,24
61627.046875,2024-12-11 03:00:00,1,HCNN,336,24
65916.921875,2024-12-11 04:00:00,1,HCNN,336,24
59842.2265625,2024-12-11 05:00:00,1,HCNN,336,24
58634.7265625,2024-12-11 06:00:00,1,HCNN,336,24
61850.171875,2024-12-11 07:00:00,1,HCNN,336,24
59347.859375,2024-12-11 08:00:00,1,HCNN,336,24
60901.81640625,2024-12-11 09:00:00,1,HCNN,336,24
60467.9765625,2024-12-11 10:00:00,1,HCNN,336,24
58968.4296875,2024-12-11 11:00:00,1,HCNN,336,24
56895.359375,2024-12-11 12:00:00,1,HCNN,336,24
56416.15625,2024-12-11 13:00:00,1,HCNN,336,24
64462.36328125,2024-12-11 14:00:00,1,HCNN,336,24
55020.2890625,2024-12-11 15:00:00,1,HCNN,336,24
58474.578125,2024-12-11 16:00:00,1,HCNN,336,24
57610.2890625,2024-12-11 17:00:00,1,HCNN,336,24
56002.16796875,2024-12-11 18:00:00,1,HCNN,336,24
53689.2265625,2024-12-11 19:00:00,1,HCNN,336,24
59345.1640625,2024-12-11 20:00:00,1,HCNN,336,24
54648.0625,2024-12-11 21:00:00,1,HCNN,336,24
57225.625,2024-12-11 22:00:00,1,HCNN,336,24
58803.984375,2024-12-11 23:00:00,2,HCNN,336,24
58888.3984375,2024-12-12 00:00:00,2,HCNN,336,24
58300.44921875,2024-12-12 01:00:00,2,HCNN,336,24
55310.71875,2024-12-12 02:00:00,2,HCNN,336,24
54637.44140625,2024-12-12 03:00:00,2,HCNN,336,24
53473.328125,2024-12-12 04:00:00,2,HCNN,336,24
52026.7578125,2024-12-12 05:00:00,2,HCNN,336,24
52837.2265625,2024-12-12 06:00:00,2,HCNN,336,24
54188.4375,2024-12-12 07:00:00,2,HCNN,336,24
57537.765625,2024-12-12 08:00:00,2,HCNN,336,24
58527.4921875,2024-12-12 09:00:00,2,HCNN,336,24
61084.8828125,2024-12-12 10:00:00,2,HCNN,336,24
63389.60546875,2024-12-12 11:00:00,2,HCNN,336,24
66535.515625,2024-12-12 12:00:00,2,HCNN,336,24
65989.78125,2024-12-12 13:00:00,2,HCNN,336,24
68460.6328125,2024-12-12 14:00:00,2,HCNN,336,24
66730.2578125,2024-12-12 15:00:00,2,HCNN,336,24
66952.984375,2024-12-12 16:00:00,2,HCNN,336,24
69338.5,2024-12-12 17:00:00,2,HCNN,336,24
68725.7265625,2024-12-12 18:00:00,2,HCNN,336,24
68137.34375,2024-12-12 19:00:00,2,HCNN,336,24
64009.65234375,2024-12-12 20:00:00,2,HCNN,336,24
63316.58203125,2024-12-12 21:00:00,2,HCNN,336,24
61916.828125,2024-12-12 22:00:00,2,HCNN,336,24
60163.9140625,2024-12-12 23:00:00,3,HCNN,336,24
60163.921875,2024-12-13 00:00:00,3,HCNN,336,24
60163.91796875,2024-12-13 01:00:00,3,HCNN,336,24
